大項目,中項目,業者CD,取引先CD,品名CD,単位CD,車種CD,運搬業者CD,種類CD
共同土木,石膏ﾎﾞｰﾄﾞA,8339,,24,,,,
共同土木,石膏ﾎﾞｰﾄﾞB,8339,,25,,,,
共同土木,石膏ﾎﾞｰﾄﾞC,8339,,26,,,,
共同土木,石膏ﾎﾞｰﾄﾞD,8339,,27,,,,
共同土木,kg,8339,,,3,,,
共同土木,m3,8339,,,2,,,
東京ﾎﾞｰﾄﾞ工業,,5238,,,,,,
杉田建材,コンテナ,8215,,,,1,,
杉田建材,ウイング,8215,,,,7,,
丸源起業,S,8327,,305,,,,
丸源起業,A,8327,,304,,,,
丸源起業,B,8327,,306,,,,
丸源起業,C,8327,,307,,,,
丸源,澤希,8327,,,,,8330,2
丸源,シェノンビー,8327,,,,,6364,2
丸源,エコライン,8327,,,,,8330,2
砂町アスコン,,5199,,,,,,
ｱﾙﾌｧﾌｫﾙﾑ,,8334,,,,,,
築館ｸﾘｰﾝｾﾝﾀｰ,澤希セミトレーラー,1185,,11,,,6418,
築館ｸﾘｰﾝｾﾝﾀｰ,澤希ウイング,1185,,7,,,6418,
築館ｸﾘｰﾝｾﾝﾀｰ,丸栄,1185,,7,,,1188,
ｱｸﾄﾘｰ,,6421,,,,,,
トクヤマ・チヨダジプサム,,8077,,,,,,
新潟環境開発,澤希,8336,,,,,6418,
新潟環境開発,ヤマト,8336,,,,,6420,
丸幸,オネスト,8337,,,,,1,
丸幸,エコライン,8337,,,,,8330,
ﾌｼﾞｺｰ,,8338,,,,,,
ｸﾘｰﾝﾃｯｸｼｵｶﾞｲ,,8341,,,,,,
ﾃﾞｲ・ｼｲ,,8080,,,,,,
北陸環境ｻｰﾋﾞｽ,,705,,,,,,
木材開発,,8340,,,,,,
高野,,8076,,,,,,
TREｶﾞﾗｽ,,349,,,,,,
東港金属　,,5227,,,,,,
ﾂﾈｲｼｶﾑﾃｯｸｽ,,8329,,,,,,
国分商会,,8360,,,,,,
ｴｺ･ﾏｲﾆﾝｸﾞ,,8363,,,,,,
東瀝青建設,,8398,,,,,,
市原ﾆｭｰｴﾅｼﾞｰ,コンテナ,8679,,,,1,,
市原ﾆｭｰｴﾅｼﾞｰ,ウイング,8679,,,,7,,
西部ｻｰﾋﾞｽ,,339,,,,,,
日盛運輸,,1646,,,,,,
ﾔﾏﾄﾌﾟﾛﾃｯｸ,,6422,,,,,,
ｴｽｼﾞｰ,,41441,,,,,,
ﾀｹｴｲﾒﾀﾙ,,601,,,,,,
MDﾛｼﾞｽﾌｨｰﾙﾄﾞｻｰﾋﾞｽ㈱ 江東,,490,,,,,,
ﾐﾀﾞｯｸ,,1057,,,,,,
ｴﾙﾃｯｸｻｰﾋﾞｽ,,117,,,,,,
大興運輸倉庫,,440,,,,,,
ｸﾞﾗﾝﾏ,kg,8082,,,,,,
ﾒｼﾞｬｰｳﾞｨｰﾅｽ･ｼﾞｬﾊﾟﾝ,,8126,,,,,,
京葉興業,,,00123K,,,,,
TOAｼﾌﾞﾙ,,37,,,,,,
FDS,,8074,,,,,,
松岡環境開発,,8085,,,,,,
